"","X1","network","perm","aic","type"
"86",86,"M_PL_022","rds",-1.11780476228162,"PH_NS"
"87",87,"M_PL_022","rds",-0.000774266873583299,"PH_S"
"88",88,"M_PL_022","rds",-26.2685451102674,"HP_NS"
"89",89,"M_PL_023","rds",0.00637148071773846,"HP_S"
"90",90,"M_PL_023","rds",11.4066096906228,"PH_NS"
"91",91,"M_PL_023","rds",0.00855637302899763,"PH_S"
"92",92,"M_PL_023","rds",31.4868545399668,"HP_NS"
"93",93,"M_PL_024","rds",0.0440137540838789,"HP_S"
"94",94,"M_PL_024","rds",-11.069041224966,"PH_NS"
"95",95,"M_PL_024","rds",-0.0119809933365557,"PH_S"
"96",96,"M_PL_024","rds",75.2473188757796,"HP_NS"
"97",97,"M_PL_025","rds",-0.00515820712898464,"HP_S"
"98",98,"M_PL_025","rds",12.7626342700408,"PH_NS"
"99",99,"M_PL_025","rds",0.00559396676351881,"PH_S"
"100",100,"M_PL_025","rds",-22.4190990768683,"HP_NS"
"101",101,"M_PL_026","rds",0.00446499965225569,"HP_S"
"102",102,"M_PL_026","rds",8.70571545398101,"PH_NS"
"103",103,"M_PL_026","rds",0.004102060137967,"PH_S"
"104",104,"M_PL_026","rds",24.5440195531041,"HP_NS"
"105",105,"M_PL_027","rds",0.00367922330766228,"HP_S"
"106",106,"M_PL_027","rds",-4.66502549556031,"PH_NS"
"107",107,"M_PL_027","rds",-0.00307170479303556,"PH_S"
"108",108,"M_PL_027","rds",14.0679095256746,"HP_NS"
"109",109,"M_PL_028","rds",-0.000634240812125132,"HP_S"
"110",110,"M_PL_028","rds",-6.05553207833285,"PH_NS"
"111",111,"M_PL_028","rds",-0.00227165182873262,"PH_S"
"112",112,"M_PL_028","rds",-4.74810647962948,"HP_NS"
"113",113,"M_PL_029","rds",0.00275782540501899,"HP_S"
"114",114,"M_PL_029","rds",3.21007957759034,"PH_NS"
"115",115,"M_PL_029","rds",0.0013940000962936,"PH_S"
"116",116,"M_PL_029","rds",18.5500657940462,"HP_NS"
"117",117,"M_PL_030","rds",0.0113207049540837,"HP_S"
