"","network","type","lr","pval"
"1","M_PL_001","pla",16.6855737429398,4.41151994885588e-05
"2","M_PL_001","pol",55.7174094242925,8.36739899125242e-14
"3","M_PL_002","pla",20.212632954788,6.92938154768518e-06
"4","M_PL_002","pol",21.6011358485134,3.35652997319393e-06
"5","M_PL_003","pla",0.809324100801163,0.368320155962794
"6","M_PL_003","pol",12.2356520947432,0.000468849551064883
"7","M_PL_004","pla",1.35003119794419e-12,0.999999072931203
"8","M_PL_004","pol",9.25778222541629,0.00234496817035601
"9","M_PL_005","pla",20.4778845597989,6.03242478777785e-06
"10","M_PL_005","pol",81.8734973442515,1.45081773915315e-19
"11","M_PL_006","pla",2.8705926524708e-12,0.999998648158278
"12","M_PL_006","pol",5.80939190485265,0.015940805414516
"13","M_PL_007","pla",3.66794821794713,0.0554684276977638
"14","M_PL_007","pol",4.54747350886464e-12,0.999998298526653
"15","M_PL_008","pla",9.37916411203332e-13,0.999999227280043
"16","M_PL_008","pol",8.41282599139959e-12,0.999997685746045
"17","M_PL_009","pla",2.79953837889479e-12,0.999998664993826
"18","M_PL_009","pol",1.51203494169749e-11,0.999996897434384
"19","M_PL_010","pla",0.0692500706040988,0.79243182139023
"20","M_PL_010","pol",2.81956766181946,0.0931214828152385
"21","M_PL_011","pla",1.12265752250096e-12,0.999999154597151
"22","M_PL_011","pol",1.54898316395702e-12,0.999999006967619
"23","M_PL_012","pla",4.80326889373828e-12,0.999998251327375
"24","M_PL_012","pol",6.3948846218409e-12,0.999997982300817
"25","M_PL_013","pla",9.76996261670138e-13,0.999999211345996
"26","M_PL_013","pol",8.88178419700125e-13,0.999999248047912
"27","M_PL_014","pla",2.02771431415086,0.154452742099812
"28","M_PL_014","pol",11.114346664496,0.000856624947720251
"29","M_PL_015","pla",35.9239053397495,2.05175881879864e-09
"30","M_PL_015","pol",348.466163315643,9.1444236833312e-78
"31","M_PL_016","pla",11.6366292562239,0.000646656774810915
"32","M_PL_016","pol",63.6104704633323,1.51621142337134e-15
"33","M_PL_017","pla",3.95061761082616e-12,0.999998414111831
"34","M_PL_017","pol",2.91322521661641e-12,0.999998638156847
"35","M_PL_018","pla",3.92219590139575e-12,0.999998419826762
"36","M_PL_018","pol",1.55750967678614e-11,0.999996851124874
"37","M_PL_019","pla",3.32534000335727e-12,0.999998545016428
"38","M_PL_019","pol",4.60431692772545e-12,0.999998287925471
"39","M_PL_020","pla",1.05160324892495e-12,0.999999181787668
"40","M_PL_020","pol",20.5284641285933,5.87510632960734e-06
"41","M_PL_021","pla",13.928723617305,0.000189874608084536
"42","M_PL_021","pol",31.5529269545327,1.94077622374997e-08
"43","M_PL_022","pla",1.3926637620898e-12,0.999999058407048
"44","M_PL_022","pol",9.02680663983864,0.00266048846827178
"45","M_PL_023","pla",7.79139889164415,0.00524955346725898
"46","M_PL_023","pol",2.73427308845211,0.0982161823659952
"47","M_PL_024","pla",1.49924517245381e-12,0.999999023040881
"48","M_PL_024","pol",1.57403117330787,0.209622554077573
"49","M_PL_025","pla",2.41584530158434e-12,0.999998759848846
"50","M_PL_025","pol",1.60582658281783e-12,0.999998988911006
"51","M_PL_026","pla",1.23350218927953e-11,0.999997197729701
"52","M_PL_026","pol",6.82121026329696e-12,0.999997916129245
"53","M_PL_027","pla",2.27373675443232e-12,0.999998796876658
"54","M_PL_027","pol",7.57435871826698,0.00592044398056608
"55","M_PL_028","pla",7.02016222930979e-12,0.999997885957881
"56","M_PL_028","pol",53.6135151012831,2.44074559523209e-13
"57","M_PL_029","pla",8.72546479513403e-12,0.999997643136955
"58","M_PL_029","pol",2.93167512155958,0.0868573276742466
"59","M_PL_030","pla",1.82102031702725,0.1771918736163
"60","M_PL_030","pol",15.4424814415073,8.50546383862169e-05
"61","M_PL_031","pla",0.743848710794424,0.388430781237877
"62","M_PL_031","pol",6.02193255854331,0.0141291666335884
"63","M_PL_032","pla",1.22923893286497e-12,0.999999115377024
"64","M_PL_032","pol",4.68426114204402,0.0304401517726218
"65","M_PL_033","pla",1.79056769411545e-12,0.999998932333948
"66","M_PL_033","pol",3.17185966285896,0.0749170985313659
"67","M_PL_034","pla",2.67164068645798e-12,0.999998695845375
"68","M_PL_034","pol",3.21961983130728,0.0727605265759115
"69","M_PL_035","pla",4.40536496171262e-12,0.999998325323184
"70","M_PL_035","pol",5.81071229744509,0.0159288411402717
"71","M_PL_036","pla",1.67523668512586,0.195558589251083
"72","M_PL_036","pol",1.95399252334028e-13,0.999999647303207
"73","M_PL_037","pla",1.08314277209049,0.297995558829523
"74","M_PL_037","pol",2.70478441790941,0.100047605471695
"75","M_PL_038","pla",0.0749428133629841,0.784271485301355
"76","M_PL_038","pol",1.10844666778576e-12,0.999999159964843
"77","M_PL_039","pla",2.87769807982841e-12,0.999998646486241
"78","M_PL_039","pol",0.763946824272843,0.382096189465081
"79","M_PL_040","pla",1.52056145452661e-12,0.999999016120187
"80","M_PL_040","pol",13.3892436218457,0.000253071424178415
"81","M_PL_041","pla",2.44591218917714,0.117831369386245
"82","M_PL_041","pol",2.03415337557233,0.153799801651872
"83","M_PL_042","pla",0.391294321361858,0.53161983504103
"84","M_PL_042","pol",5.45341549695877e-13,0.999999410784239
"85","M_PL_043","pla",5.81223957851762e-12,0.99999807641308
"86","M_PL_043","pol",6.45616132556353,0.0110568252927607
"87","M_PL_045","pla",1.70530256582424e-12,0.999998958064622
"88","M_PL_045","pol",1.19371179607697e-12,0.999999128254319
"89","M_PL_046","pla",1.76925141204265e-12,0.999998938708131
"90","M_PL_046","pol",1.37134748001699e-12,0.999999065640904
"91","M_PL_047","pla",2.34479102800833e-12,0.999998778222471
"92","M_PL_047","pol",1.48929757415317e-11,0.999996920850308
"93","M_PL_048","pla",1.74898798726376,0.186004007052612
"94","M_PL_048","pol",4.27265302231478,0.0387304155094457
"95","M_PL_049","pla",5.31432554506065,0.0211507795633856
"96","M_PL_049","pol",36.8629063570266,1.26734344760249e-09
"97","M_PL_050","pla",1.73076247948756,0.188313551169097
"98","M_PL_050","pol",1.27478399916738,0.258871119786538
"99","M_PL_051","pla",2.73917921026593,0.0979150479302052
"100","M_PL_051","pol",2.28794760914752e-12,0.999998793122754
"101","M_PL_052","pla",2.18702747305398,0.139177684059409
"102","M_PL_052","pol",1.55302141058561,0.212689952575473
"103","M_PL_053","pla",9.59126689917514,0.00195505003707946
"104","M_PL_053","pol",63.9796631190809,1.25710209239601e-15
"105","M_PL_058","pla",1.16529008664656e-12,0.999999138694764
"106","M_PL_058","pol",5.51381162949838e-12,0.999998126446824
"107","M_PL_059","pla",0.975618991336631,0.323282805346611
"108","M_PL_059","pol",2.87769807982841e-13,0.999999571981368
