"net","mod_pla","mod_pol","p_value"
"191","M_PL_028",5,5,0
"192","M_PL_028",6,6,1
"193","M_PL_029",0,0,1
"194","M_PL_029",1,1,1
"195","M_PL_029",2,2,1
"196","M_PL_029",3,3,1
"197","M_PL_029",4,4,0
"198","M_PL_029",5,5,0
"199","M_PL_029",6,6,1
"200","M_PL_029",7,7,1
"201","M_PL_029",8,8,1
"202","M_PL_030",0,0,1
"203","M_PL_030",1,1,1
"204","M_PL_030",2,2,1
"205","M_PL_030",3,3,1
"206","M_PL_030",4,4,1
"207","M_PL_030",5,5,1
"208","M_PL_030",6,6,1
"209","M_PL_030",7,7,0
"210","M_PL_030",8,8,0
"211","M_PL_030",9,9,1
"212","M_PL_031",0,0,1
"213","M_PL_031",1,1,1
"214","M_PL_031",2,2,1
"215","M_PL_031",3,3,1
"216","M_PL_031",4,4,1
"217","M_PL_031",5,5,0
"218","M_PL_031",6,6,1
"219","M_PL_031",7,7,3.90539872943702e-155
"220","M_PL_032",0,0,0
"221","M_PL_032",1,1,1
"222","M_PL_032",2,2,1
"223","M_PL_032",3,3,1
"224","M_PL_032",4,4,1
"225","M_PL_033",0,0,1
"226","M_PL_033",1,1,1
"227","M_PL_033",2,2,1
"228","M_PL_033",3,3,0
"229","M_PL_033",4,4,1
"230","M_PL_034",0,0,1
"231","M_PL_034",1,1,1
"232","M_PL_034",2,2,1
"233","M_PL_034",3,3,1
"234","M_PL_034",4,4,1.14124836425549e-181
"235","M_PL_034",5,5,1
"236","M_PL_034",6,6,1
"237","M_PL_034",7,7,1
"238","M_PL_034",8,8,0
"239","M_PL_035",0,0,1
"240","M_PL_035",1,1,1
"241","M_PL_035",2,2,1
"242","M_PL_035",3,3,1
"243","M_PL_035",4,4,1
"244","M_PL_035",5,5,0
"245","M_PL_036",0,0,1
"246","M_PL_036",1,1,1
"247","M_PL_036",2,2,1
"248","M_PL_036",3,3,1
"249","M_PL_037",0,0,1
"250","M_PL_037",1,1,1
"251","M_PL_037",2,2,1
"252","M_PL_037",3,3,1
"253","M_PL_037",4,4,1
"254","M_PL_038",0,0,1
"255","M_PL_038",1,1,1
"256","M_PL_038",2,2,1
"257","M_PL_038",3,3,1
"258","M_PL_039",0,0,1
"259","M_PL_039",1,1,1
"260","M_PL_039",2,2,1
"261","M_PL_039",3,3,0
"262","M_PL_039",4,4,1.54479309649353e-259
"263","M_PL_040",0,0,6.9665662331605e-114
"264","M_PL_040",1,1,1
"265","M_PL_040",2,2,0
"266","M_PL_040",3,3,2.28721413642822e-42
"267","M_PL_040",4,4,1
"268","M_PL_040",5,5,1
"269","M_PL_040",6,6,1
"270","M_PL_041",0,0,1
"271","M_PL_041",1,1,0
"272","M_PL_041",2,2,1.3336481791622e-66
"273","M_PL_041",3,3,1
"274","M_PL_041",4,4,1
"275","M_PL_041",5,5,1
"276","M_PL_041",6,6,1
"277","M_PL_042",0,0,1
"278","M_PL_042",1,1,1
"279","M_PL_042",2,2,0
"280","M_PL_043",0,0,1
"281","M_PL_043",1,1,0
"282","M_PL_043",2,2,1.86041128038892e-227
"283","M_PL_043",3,3,1.62989118370418e-261
"284","M_PL_043",4,4,1
"285","M_PL_043",5,5,6.1792789461733e-293
"286","M_PL_043",6,6,1
"287","M_PL_045",0,0,1
"288","M_PL_045",1,1,1
"289","M_PL_045",2,2,1
"290","M_PL_045",3,3,1
"291","M_PL_045",4,4,1
"292","M_PL_046",0,0,1
"293","M_PL_046",1,1,1
"294","M_PL_046",2,2,1
"295","M_PL_047",0,0,1
"296","M_PL_047",1,1,1
"297","M_PL_047",2,2,1
"298","M_PL_047",3,3,0
"299","M_PL_047",4,4,1
"300","M_PL_047",5,5,1
"301","M_PL_047",6,6,1
"302","M_PL_048",0,0,1
"303","M_PL_048",1,1,7.01087503974837e-230
"304","M_PL_048",2,2,1
"305","M_PL_048",3,3,1
"306","M_PL_048",4,4,1
"307","M_PL_049",0,0,1
"308","M_PL_049",1,1,1
"309","M_PL_049",2,2,0
"310","M_PL_049",3,3,1
"311","M_PL_049",4,4,1
"312","M_PL_049",5,5,0
"313","M_PL_050",0,0,1
"314","M_PL_050",1,1,0
"315","M_PL_050",2,2,1
"316","M_PL_050",3,3,1
"317","M_PL_050",4,4,2.93364084724897e-211
"318","M_PL_051",0,0,1
"319","M_PL_051",1,1,0
"320","M_PL_051",2,2,1
"321","M_PL_051",3,3,1
"322","M_PL_051",4,4,1
"323","M_PL_051",5,5,1
"324","M_PL_052",0,0,1
"325","M_PL_052",1,1,1
"326","M_PL_052",2,2,0
"327","M_PL_052",3,3,1
"328","M_PL_052",4,4,1
"329","M_PL_052",5,5,1
"330","M_PL_053",0,0,1
"331","M_PL_053",1,1,1
"332","M_PL_053",2,2,1
"333","M_PL_053",3,3,4.67830333537154e-211
"334","M_PL_053",4,4,1
"335","M_PL_053",5,5,0
"336","M_PL_053",6,6,1
"337","M_PL_053",7,7,1
"338","M_PL_053",8,8,1
"339","M_PL_053",9,9,1
"340","M_PL_053",10,10,1
"341","M_PL_058",0,0,1
"342","M_PL_058",1,1,1
"343","M_PL_058",2,2,1
"344","M_PL_058",3,3,1
"345","M_PL_058",4,4,1
"346","M_PL_058",5,5,1
"347","M_PL_059",0,0,1
"348","M_PL_059",1,1,1
"349","M_PL_059",2,2,0
